CustomerName,Phone,SalesPerson
Sra.Esteves,1 (11) 500 555-0136,adventure-works\jae0
Mr.Fulton,492-555-0146,adventure-works\michael9
Ms.Evans,554-555-0124,adventure-works\pamela0
Ms.Toone,328-555-0192,adventure-works\david8
Mr.Ford,596-555-0153,adventure-works\jillian0
Ms.Evans,252-555-0127,adventure-works\jillian0
Ms.Krane,731-555-0187,adventure-works\shu0
Mr.Frintu,777-555-0163,adventure-works\linda3
Mr.Evans,581-555-0172,adventure-works\shu0
Ms.Styles,512-555-0122,adventure-works\josé1
Ms.Kane,765-555-0141,adventure-works\josé1
Ms.French,994-555-0194,adventure-works\garrett1
Mr.Suess,1 (11) 500 555-0199,adventure-works\jae0
Ms.Suffin,924-555-0195,adventure-works\pamela0
Ms.Smith,959-555-0151,adventure-works\david8
Ms.Fox,191-555-0198,adventure-works\jillian0
Ms.Sullivan,306-555-0112,adventure-works\jillian0
Ms.Adams,991-555-0183,adventure-works\shu0
Mr.Fort,768-555-0125,adventure-works\linda3
Mr.Sullivan,323-555-0113,adventure-works\shu0
Ms.Sultan,613-555-0116,adventure-works\josé1
Ms.Alberts,727-555-0115,adventure-works\josé1
Ms.Focht,272-555-0123,adventure-works\garrett1
Mr.Sunkammurali,1 (11) 500 555-0177,adventure-works\jae0
Ms.Black,264-555-0143,adventure-works\michael9
Mr.Sutton,688-555-0115,adventure-works\pamela0
Mr.Ferrier,571-555-0128,adventure-works\david8
Mr.Bishop,176-555-0136,adventure-works\jillian0
Mr.Svoboda,132-555-0149,adventure-works\jillian0
Mr.Ahlering,678-555-0175,adventure-works\shu0
Mr.Bischoff,992-555-0111,adventure-works\linda3
Mr.Swearengin,926-555-0136,adventure-works\shu0
Mr.Calafato,726-555-0155,adventure-works\josé1
Mr.Tomic,833-555-0167,adventure-works\josé1
Mr.Michaels,162-555-0174,adventure-works\garrett1
Ms.Caldwell,1 (11) 500 555-0118,adventure-works\jae0
Ms.Gimmi,149-555-0196,adventure-works\shu0
Mr.Givens,605-555-0111,adventure-works\josé1
Ms.Tibbott,847-555-0184,adventure-works\shu0
Ms.Meyer,519-555-0112,adventure-works\linda3
Ms.Glenn,669-555-0149,adventure-works\shu0
Ms.Glimp,898-555-0137,adventure-works\josé1
Ms.Tian,744-555-0123,adventure-works\josé1
Mr.Mew,399-555-0114,adventure-works\garrett1
Mr.Brooks,1 (11) 500 555-0179,adventure-works\jae0
Mr.Brooks,525-555-0174,adventure-works\pamela0
Mr.Kobylinski,129-555-0185,adventure-works\david8
Mr.Mendoza,963-555-0146,adventure-works\jillian0
Mr.Adams,158-555-0142,adventure-works\jillian0
Mr.Kleinerman,362-555-0177,adventure-works\shu0
Mr.Kirilov,608-555-0162,adventure-works\linda3
Ms.Mendiola,535-555-0189,adventure-works\shu0
Ms.Mello,723-555-0124,adventure-works\josé1
Mr.Agcaoili,554-555-0110,adventure-works\josé1
Mr.Kim,244-555-0115,adventure-works\garrett1
Ms.McPhearson,1 (11) 500 555-0195,adventure-works\jae0
Ms.McLin,158-555-0123,adventure-works\pamela0
Mr.Alcorn,331-555-0162,adventure-works\david8
Mr.Allen,447-555-0110,adventure-works\jillian0
Ms.McKay,623-555-0144,adventure-works\jillian0
Mr.Jacobson,555-555-0162,adventure-works\shu0
Ms.Alexander,115-555-0175,adventure-works\linda3
Mr.Bentley,911-555-0153,adventure-works\shu0
Mr.Howard,555-555-0162,adventure-works\josé1
Mr.Allison,699-555-0155,adventure-works\josé1
Mr.Alderson,968-555-0153,adventure-works\garrett1
Ms.Hows,1 (11) 500 555-0119,adventure-works\jae0
Mr.Huckaby,851-555-0127,adventure-works\pamela0
Ms.Farino,957-555-0125,adventure-works\david8
Ms.Abercrombie,334-555-0137,adventure-works\jillian0
Mr.Huff,190-555-0186,adventure-works\jillian0
Ms.Farrell,329-555-0183,adventure-works\shu0
Ms.Abel,747-555-0171,adventure-works\linda3
Ms.Steele,741-555-0173,adventure-works\shu0
Ms.Steelman,797-555-0118,adventure-works\josé1
Ms.Finley,920-555-0191,adventure-works\josé1
Mr.Chambers,127-555-0124,adventure-works\garrett1
Mr.Stefani,1 (11) 500 555-0115,adventure-works\jae0
Mr.Steiner,792-555-0194,adventure-works\pamela0
Ms.Flood,627-555-0192,adventure-works\david8
Mr.Hodges,129-555-0120,adventure-works\jillian0
Mr.Stenerson,441-555-0144,adventure-works\jillian0
Mr.Casts,362-555-0162,adventure-works\shu0
Ms.Holt,654-555-0150,adventure-works\linda3
Mr.Stern,328-555-0123,adventure-works\shu0
Ms.Steuber,517-555-0120,adventure-works\pamela0
Mr.Cavallari,695-555-0161,adventure-works\david8
Ms.Hoeing,850-555-0198,adventure-works\jillian0
Ms.Steiner,355-555-0180,adventure-works\jillian0
Mr.Brown,280-555-0124,adventure-works\shu0
Mr.Hodgson,969-555-0117,adventure-works\linda3
Ms.Stevens,366-555-0110,adventure-works\shu0
Mr.Stewart,226-555-0110,adventure-works\garrett1
Ms.Huff,1 (11) 500 555-0146,adventure-works\jae0
Mr.Hunter,482-555-0188,adventure-works\pamela0
Mr.Hink,146-555-0176,adventure-works\david8
Mr.Stotka,493-555-0185,adventure-works\jillian0
Ms.Huntsman,153-555-0195,adventure-works\jillian0
Mr.Hines,454-555-0160,adventure-works\shu0
Ms.Stotler,315-555-0131,adventure-works\linda3
Mr.Hurkett,129-555-0185,adventure-works\shu0
Mr.Ihrig,809-555-0152,adventure-works\josé1
Mr.Hill,194-555-0149,adventure-works\josé1
Mr.Lyeba,631-555-0155,adventure-works\garrett1
Mr.Van Houten,1 (11) 500 555-0110,adventure-works\jae0
Mr.Lyon,666-555-0143,adventure-works\garrett1
Ms.Vandenouer,1 (11) 500 555-0140,adventure-works\jae0
Ms.Maccietto,537-555-0190,adventure-works\michael9
Mr.Vanderbout,684-555-0134,adventure-works\pamela0
Mr.Heymsfield,784-555-0120,adventure-works\david8
Mr.MacDonald,470-555-0171,adventure-works\jillian0
Mr.Vanderhyde,918-555-0141,adventure-works\jillian0
Ms.Herring,158-555-0154,adventure-works\shu0
Mr.Mays,245-555-0191,adventure-works\linda3
Ms.Vanderkamp,265-555-0143,adventure-works\shu0
Ms.Vanderlinden,680-555-0160,adventure-works\josé1
Mr.Hernandez,214-555-0145,adventure-works\josé1
Ms.Hernandez,790-555-0197,adventure-works\garrett1
Mr.Manchepalli,1 (11) 500 555-0174,adventure-works\jae0
Mr.Vargas,371-555-0184,adventure-works\michael9
Mr.Hensien,143-555-0129,adventure-works\garrett1
Mr.Manzanares,1 (11) 500 555-0178,adventure-works\jae0
Ms.Marcovecchio,942-555-0141,adventure-works\pamela0
Ms.Doyle,899-555-0134,adventure-works\david8
Ms.Hendricks,859-555-0140,adventure-works\jillian0
Ms.Markwood,747-555-0113,adventure-works\jillian0
Mr.Drury,169-555-0178,adventure-works\shu0
Mr.Hanson,107-555-0117,adventure-works\linda3
Ms.Marple,685-555-0117,adventure-works\shu0
Ms.Marshall,394-555-0168,adventure-works\josé1
Mr.D'sa,916-555-0137,adventure-works\josé1
Ms.Heaney,393-555-0167,adventure-works\garrett1
Ms.Martin,1 (11) 500 555-0137,adventure-works\jae0
Mr.Haugh,763-555-0120,adventure-works\garrett1
Ms.Martinez,1 (11) 500 555-0113,adventure-works\jae0
Ms.Desalvo,143-555-0113,adventure-works\pamela0
Mr.Duncan,539-555-0121,adventure-works\david8
Ms.Hass,713-555-0168,adventure-works\jillian0
Mr.Caron,620-555-0117,adventure-works\jillian0
Mr.Dusza,962-555-0144,adventure-works\shu0
Mr.Harui,774-555-0133,adventure-works\linda3
Mr.Carothers,944-555-0148,adventure-works\shu0
Ms.Ecoffey,674-555-0188,adventure-works\josé1
Ms.Abel,747-555-0171,adventure-works\linda3
Ms.Abercrombie,334-555-0137,adventure-works\jillian0
Ms.Adams,991-555-0183,adventure-works\shu0
Ms.Smith,959-555-0151,adventure-works\david8
Mr.Adams,158-555-0142,adventure-works\jillian0
Mr.Agcaoili,554-555-0110,adventure-works\josé1
Mr.Ahlering,678-555-0175,adventure-works\shu0
Mr.Ferrier,571-555-0128,adventure-works\david8
Ms.Alberts,727-555-0115,adventure-works\josé1
Mr.Alcorn,331-555-0162,adventure-works\david8
Mr.Alderson,968-555-0153,adventure-works\garrett1
Ms.Alexander,115-555-0175,adventure-works\linda3
Mr.Jacobson,555-555-0162,adventure-works\shu0
Mr.Allen,447-555-0110,adventure-works\jillian0
Mr.Allison,699-555-0155,adventure-works\josé1
Mr.Alpuerto,855-555-0174,adventure-works\linda3
Mr.Amland,614-555-0134,adventure-works\garrett1
Ms.Antrim,327-555-0148,adventure-works\michael9
Mr.Johnston,883-555-0177,adventure-works\shu0
Mr.Armstrong,226-555-0146,adventure-works\linda3
Mr.Arthur,149-555-0113,adventure-works\jillian0
Mr.Ashton,556-555-0145,adventure-works\jillian0
Ms.Atkinson,129-555-0110,adventure-works\linda3
Mr.Avalos,665-555-0198,adventure-works\josé1
Mr.Ayers,818-555-0171,adventure-works\michael9
Mr.Blanco,221-555-0167,adventure-works\garrett1
Mr.Booth,121-555-0157,adventure-works\linda3
Mr.Bailey,234-555-0112,adventure-works\david8
Mr.Baldwin,583-555-0130,adventure-works\michael9
Mr.Banack,640-555-0189,adventure-works\jillian0
Mr.Barker,241-555-0112,adventure-works\michael9
Mr.Barnhill,584-555-0192,adventure-works\garrett1
,257-555-0119,adventure-works\josé1
Mr.Beasley,396-555-0187,adventure-works\garrett1
Mr.Beaver,521-555-0195,adventure-works\pamela0
Mr.Beck,1 (11) 500 555-0132,adventure-works\jae0
Ms.Beebe,277-555-0169,adventure-works\garrett1
Mr.Alan,156-555-0126,adventure-works\david8
Ms.Benson,789-555-0189,adventure-works\jillian0
Mr.Benson,528-555-0183,adventure-works\michael9
Mr.Berger,519-555-0151,adventure-works\garrett1
Mr.Berger,156-555-0111,adventure-works\josé1
Mr.Bernacchi,449-555-0176,adventure-works\david8
Mr.Berndt,384-555-0169,adventure-works\shu0
Mr.Brown,280-555-0124,adventure-works\shu0
Mr.Bischoff,992-555-0111,adventure-works\linda3
Ms.Black,264-555-0143,adventure-works\michael9
Ms.Blackwell,972-555-0163,adventure-works\josé1
Mr.Blanton,357-555-0161,adventure-works\shu0
Ms.Burnett,121-555-0121,adventure-works\jillian0
Mr.Blythe,126-555-0172,adventure-works\jillian0
Ms.Bockenkamp,763-555-0145,adventure-works\pamela0
Sr.Bonifaz,688-555-0113,adventure-works\linda3
Mr.Boseman,383-555-0117,adventure-works\jillian0
Mr.Bowen,371-555-0143,adventure-works\josé1
Mr.Bowman,844-555-0112,adventure-works\garrett1
Mr.Brandon,229-555-0114,adventure-works\shu0
Mr.Bready,340-555-0131,adventure-works\david8
Mr.Bremer,962-555-0166,adventure-works\pamela0
Mr.Brewer,494-555-0134,adventure-works\jillian0
Mr.Brian,163-555-0155,adventure-works\shu0
Mr.Bright,162-555-0166,adventure-works\david8
Mr.Brooks,1 (11) 500 555-0179,adventure-works\jae0
Mr.Brooks,525-555-0174,adventure-works\pamela0
Mr.Brown,689-555-0130,adventure-works\michael9
Mr.Brown,575-555-0189,adventure-works\jillian0
Ms.Browning,658-555-0146,adventure-works\jillian0
Mr.Brumfield,644-555-0114,adventure-works\josé1
Mr.Brundage,128-555-0148,adventure-works\shu0
Ms.Bruner,383-555-0155,adventure-works\david8
Ms.Brunner,249-555-0172,adventure-works\michael9
Mr.Bruno,817-555-0114,adventure-works\garrett1
Sra.Bueno,476-555-0184,adventure-works\josé1
Ms.Burke,148-555-0149,adventure-works\shu0
Ms.Burkhardt,652-555-0132,adventure-works\david8
Mr.Burnett,251-555-0172,adventure-works\josé1
Mr.Bustamante,164-555-0147,adventure-works\pamela0
Mr.Byham,1 (11) 500 555-0138,adventure-works\jae0
Mr.Calafato,726-555-0155,adventure-works\josé1
Ms.Caldwell,1 (11) 500 555-0118,adventure-works\jae0
Ms.Calone,145-555-0152,adventure-works\jillian0
Ms.Camacho,827-555-0143,adventure-works\pamela0
